Percy Stafford Allen|Percy Stafford Allen|Allen, P. S. (Percy Stafford), 1869-1933|1869-1933|1869-1933|1|0|Found: via dates
NA|Quincy Allen|Allen, Quincy|||8|0|
Richard L. Allen|Richard L. Allen|Allen, Richard L.|1803-1869||1|0|Found: via work_scan OpenL
NA|Stanton P. Allen|Allen, Stanton P.|||1|0|
NA|Walter Allen|Allen, Walter, 1840-1907||1840-1907|1|0|
NA|William Alonzo Allen|Allen, William Alonzo, 1848-||1848-|1|0|
NA|William Ferneley Allen|Allen, William Ferneley, 1816-1877||1816-1877|0|0|
NA|William G. Allen|Allen, William G., active 1849-1853||1849-1853|0|0|
NA|WIlliam Harvey Allen|Allen, William H. (WIlliam Harvey), 1874-1963||1874-1963|0|0|
NA|Willis Boyd Allen|Allen, Willis Boyd|||3|0|
NA|J. J. Allerton|Allerton, J. J.|||1|0|
Thomas William Allies|Thomas William Allies|Allies, T. W. (Thomas William), 1813-1903|1813-1903|1813-1903|5|1|Found: via dates
NA|Thomas W. Allies|Allies, Thomas W.|||1|0|
William Allingham|William Allingham|Allingham, William, 1824-1889|1828-1889|1824-1889|1|1|Found: via work_scan OpenL
NA|Anne Crosby Emery Allinson|Allinson, Anne C. E. (Anne Crosby Emery), 1871-1932||1871-1932|0|0|
Thomas Allinson|Thomas Richard Allinson|Allinson, T. R. (Thomas Richard)|||1|0|Found: via manual
NA|Samuel Buell Allison|Allison, Samuel B. (Samuel Buell), 1861-||1861-|1|0|
Young E. Allison|Young Ewing Allison|Allison, Young Ewing, 1853-1932|1853-1932|1853-1932|2|1|Found: via dates
NA|Sidney Allnutt|Allnutt, Sidney|||1|0|
NA|Mary Wilson Alloway|Alloway, Mary Wilson, 1848-1919||1848-1919|1|0|
NA|Robert Owen Allsop|Allsop, Robert Owen|||1|0|
Washington Allston|Washington Allston|Allston, Washington, 1779-1843|1779-1843|1779-1843|2|1|Found: via dates
NA|Maude Alma|Alma, Maude, -1895||-1895|1|0|
Rosauro Almario|Rosauro Almario|Almario, Rosauro, 1886-1933|1886-1933|1886-1933|1|1|Found: via dates
Laurence Alma-Tadema|Laurence Alma-Tadema|Alma-Tadema, Laurence, 1865?-1940|1865-1940|1865-1940|2|0|Found: via dates
Almeida Garrett|Visconde de João Batista da Silva Leitão de Almeida Garrett|Almeida Garrett, João Batista da Silva Leitão de, Visconde de, 1799-1854|1799-1854|1799-1854|5|1|Found: via dates
NA|António de Almeida|Almeida, António de, 1821-||1821-|1|0|
NA|Avelino Nunes de Almeida|Almeida, Avelino Nunes de|||1|0|
NA|José Valentim Fialho de Almeida|Almeida, José Valentim Fialho de, 1857-1911||1857-1911|0|0|
Nicolau Tolentino de Almeida|Nicolau Tolentino de Almeida|Almeida, Nicolau Tolentino de, 1740-1811|1740-1811|1740-1811|2|1|Found: via dates
